Real,K-AGRUED,GRUED,LSTM,SVR,ARIMA
6789,6773.23,6789.21,6771.09,6556.25,6129.65
7362,6919,6877.04,6832.32,6507.02,5992.13
6759,7168.48,7261.67,7253.85,7071.62,6446.19
7031,6819.64,6805.74,6781.08,6528.72,6070.05
6922,6987.1,7018.49,7005.11,6787.46,6244.2
7503,7058.05,7016.63,6974.86,6640.95,6047.19
7249,7398.64,7456.79,7434.72,7172.07,6411.71
7538,7300.43,7295.9,7260.35,6936.03,6214.84
7292,7438.73,7494.91,7475.55,7211.36,6425.25
7373,7293.82,7309.63,7286.95,7002.84,6285.04
6739,7193.48,7282.1,7293.91,7141.66,6487.37
6721,6742.86,6754.3,6758.63,6593.05,6174.27
6700,6726.02,6737.15,6743.57,6584.11,6174.17
6861,6752.35,6744.66,6743.92,6553.91,6126.91
7528,7037.34,6981.93,6953.28,6637.85,6045.35
7222,7431.15,7486.87,7485.54,7253.52,6455.27
7481,7285.89,7277.88,7261.65,6971.44,6242.66
7132,7380.2,7437.88,7444.09,7233.22,6458.32
6978,7099.43,7130.16,7140.39,6952.06,6328.3
6860,6960.97,6985.05,6999.12,6831.16,6284.02
7205,6962.79,6938.45,6933.37,6693.91,6141.62
6758,7099.76,7160.22,7186.63,7049.91,6423.85
6438,6698.04,6738.56,6770.75,6683.67,6287.15
6734,6535.12,6510.05,6517.06,6358.17,6056.84
6540,6707.07,6734.7,6762.55,6656.41,6253.54
6962,6669.14,6632.88,6633.49,6435.42,6054.65
6805,6941.06,6968.1,6990.88,6842.84,6300.42
6517,6754.81,6792.92,6825.96,6730.06,6297.86
6999,6661.96,6619.89,6619,6414.19,6039.17
7580,7162.76,7116.53,7103.2,6804.22,6126.11
7415,7532.79,7568.87,7577.26,7333.92,6437.32
6515,7193.58,7300.84,7351.8,7283.6,6585.77
6811,6613.67,6590.88,6599.88,6433.27,6089.72
6371,6723.47,6777.52,6819.56,6755.94,6340.39
7216,6606.47,6527.82,6510.37,6254.2,5921.31
6495,7048.02,7135.01,7183.28,7113.91,6495.66
6680,6565.33,6554.2,6568.27,6425.65,6115.05
6901,6758.33,6745.61,6755.67,6578.93,6146.14
7932,7178.64,7087.39,7053.61,6682.27,5989.48
7651,7830.6,7881.43,7886.67,7618.73,6515.23
6745,7413.65,7524.25,7569.96,7472.06,6616.97
6836,6788.56,6790.26,6804.01,6641.97,6189.38
6401,6746.28,6801.71,6839.97,6769.66,6337.96
6603,6472.96,6460.39,6469.98,6330.31,6089.33
6678,6642.12,6644.48,6658.02,6515.98,6161.25
7435,6886.38,6821.49,6799.27,6509.72,6004.24
6984,7319.14,7383.01,7408.77,7254,6445.38
6813,6953.65,6985.19,7003.81,6856.52,6290.6
6958,6864.3,6862.57,6866.24,6677.78,6177.42
6409,6831.93,6901.35,6936.87,6866.88,6375.11
6612,6477.31,6465.24,6466.42,6313.91,6082.89
6396,6573.32,6605.69,6625.03,6530.01,6223.73
6711,6491.09,6467.62,6460.17,6282.6,6049.01
7399,6895.22,6838.55,6808.77,6517.4,6010.71
7552,7426.29,7431.09,7418.57,7144.91,6257.36
6955,7381.93,7463.37,7484.36,7339.57,6464.53
7053,6983.05,6988.7,6981.14,6773.1,6190.52
7346,7125.47,7112.94,7092.88,6832.35,6153.97
7474,7363.62,7371.12,7354.26,7089,6236.96
6406,7184.16,7312.77,7352.26,7308.99,6550.35
6665,6467.86,6446.93,6428.24,6222.58,5956.73
7177,6784.46,6744.94,6707.55,6414.57,5972.82
7413,7205.68,7208.86,7167.64,6849.09,6187.39
7171,7309.18,7366.78,7340.98,7081.41,6373.73
6600,7004.03,7085.83,7089.88,6940.97,6396.95
7044,6712.66,6676.59,6651.76,6398.13,5993.82
6261,6835.91,6933.61,6957.63,6879.39,6425.24
5954,6194.77,6226.46,6249.69,6206.54,6098.26
6902,6203.74,6105.67,6071.26,5826.24,5704.07
6628,6833.51,6874.91,6884.09,6737.16,6273.14
7037,6739.6,6706.31,6690.52,6454.99,6033.97
7353,7114.62,7099.25,7078.09,6796,6168.14
7069,7266.72,7318.3,7317.42,7103.96,6400.67
6399,6902.41,6985.4,7015.91,6930.67,6429.23
6380,6411.4,6416.58,6431.87,6328.36,6096.66
6344,6389.15,6395.8,6413.32,6318.24,6099.82
7044,6538.09,6470.72,6452.95,6218.18,5910.16
7078,7060.43,7071.01,7073.11,6860.04,6257.72
7242,7126.99,7124.91,7120.86,6878.01,6235.73
7125,7215.27,7244.03,7250.27,7037.82,6347.15
7064,7118.36,7139.08,7147.41,6945.24,6307
6855,7023.56,7057.82,7076.39,6915.63,6331.11
6370,6752.03,6810.46,6848.92,6779.16,6351.85
6100,6325.58,6356.39,6392.42,6357.1,6181.44
6353,6184.95,6161.26,6173.47,6074.1,5985.67
5951,6276.19,6320.36,6364.18,6359.32,6215.06
6598,6132.96,6069.38,6062.91,5906.29,5855.43
5827,6429.21,6513.16,6573.58,6606.54,6370.12
6308,5965.78,5918.64,5920.81,5813.84,5871.57
6705,6431.37,6395.99,6401.44,6244.78,6012.36
7573,6945.67,6867.32,6845.22,6535.38,5988.52
6659,7339.34,7450.07,7496.75,7405.5,6622.02
6541,6653.6,6673.67,6701.74,6596.54,6225.84
6437,6539.55,6557.2,6585.9,6495.39,6196.32
7018,6606.67,6555.02,6550.28,6337.55,6002.24
6676,6950.75,6997.59,7031.09,6916.63,6359.69
6995,6779.14,6756.39,6761.92,6566.48,6121.02
6785,6960.8,6994.48,7021.5,6884.39,6320.15
6485,6731.67,6772.31,6806.74,6718.62,6298.09
6712,6564.92,6550.05,6560.76,6409.17,6102.4
6551,6693.39,6719.76,6747.13,6640.77,6246.58
6706,6611.96,6605.29,6617.78,6469.82,6133.44
5998,6549.68,6631.07,6684.49,6686.98,6380.09
5966,6009.22,6016.15,6038.93,5995.86,6062.93
7286,6314.7,6186.11,6140.42,5828.64,5718.36
7320,7298.98,7312.71,7318.04,7088.12,6300.35
6676,7161.17,7243.24,7281.01,7181.53,6473.05
6836,6733.74,6728.84,6734.28,6562.01,6149.78
6907,6868.4,6874.32,6881.46,6704.75,6200.21
7237,7001.84,6982.81,6974.97,6735.96,6146.09
6513,7057.37,7147.43,7186.61,7113,6465.23
6654,6564.51,6559.95,6562.11,6407.66,6116.17
7334,6837.97,6781.32,6753.99,6472.9,6005.07
6945,7230.29,7288.43,7305.45,7149.61,6386.5
6677,6884.2,6926.12,6940.44,6809.83,6287.35
6552,6656.63,6680.89,6688.5,6560.08,6202.43
6056,6439.86,6499.44,6524.5,6482.5,6270.72
5742,5992.92,6026.36,6042.85,6013.34,6135.25
6545,5959.56,5875.46,5835.9,5607.59,5797.47
5751,6355.87,6444.8,6478.63,6489.78,6335.4
6053,5833.42,5795.37,5787.33,5669.05,5756.13
6212,6097.85,6079,6074.75,5946.86,5886.68
6777,6357.6,6301.27,6275,6046.49,5837.34
6715,6753.47,6773.48,6764.92,6576.41,6158.5
6790,6730.08,6734.2,6722.69,6520.62,6112.48
6939,6823.15,6821.37,6805.64,6580.03,6119.54
6198,6746.11,6836.75,6862.46,6793.46,6386.86
6621,6314.78,6272.42,6260.17,6080.67,5898.19
6453,6585.38,6610.11,6620.26,6495.47,6167.37
6626,6507.16,6494.22,6492.61,6329.57,6041.27
6599,6628.64,6638.91,6644.96,6496.96,6142.44
6465,6576.83,6597.08,6610.57,6491.03,6166.24
6582,6508.75,6501.39,6506.38,6360.66,6071.98
6745,6636.93,6626.9,6628.62,6457.37,6095.53
6484,6692.21,6727.38,6748.05,6637.36,6247.61
5828,6337.48,6407.64,6454.56,6467.13,6282.13
6597,6036.64,5957.59,5939.8,5767.35,5755.12
6405,6567.22,6592.67,6616.64,6522.2,6202.18
6264,6390.15,6407.84,6433.25,6360.61,6143.37
7291,6541.75,6441.12,6410.54,6127.41,5818.32
7027,7226.47,7270.49,7283.78,7094.24,6396.89
6902,7008.75,7033.99,7049.36,6877.94,6301.31
6684,6864.74,6897.18,6921.25,6790.44,6296.37
6480,6654.65,6682.58,6711.1,6613.82,6242.17
6716,6562.45,6543.99,6554.1,6401.66,6084.5
6758,6748.76,6752.62,6769.62,6620.09,6191.86
6498,6715.14,6749.79,6781.74,6686.86,6278.72
6238,6457.31,6489.08,6525.17,6471.18,6218.6
6272,6270.07,6270.2,6294.03,6219.96,6084.42
6263,6293.64,6298.56,6324.53,6254.26,6105.26
6263,6286.86,6291,6316.69,6245.89,6102.58
6165,6262.35,6276.5,6307.13,6255.77,6128.65
6267,6213.45,6207.02,6228.05,6150.03,6057.09
5886,6195.5,6238.37,6283,6287.03,6203
6335,6017.54,5974.92,5978.62,5866.52,5907.88
6720,6455.14,6422.36,6427.9,6268.25,6028.92
6729,6745.27,6753.97,6774.45,6634.58,6208.01
6479,6689.14,6724.02,6757.04,6667.4,6274.34
6140,6417.76,6459.26,6498.84,6462.05,6242.74
5740,6061.54,6106.26,6150.11,6169.7,6184.17
5929,5804.03,5786.86,5800.88,5749.23,5948.42
6230,6023.18,5996.2,6004.03,5906.24,5963.64
5813,6147.05,6194.59,6236.85,6244.24,6208.61
5507,5753.87,5786.57,5823.22,5856.07,6091.4
6350,5732.13,5647.31,5625.52,5458.13,5737.92
6159,6322.7,6349.12,6376.67,6319.14,6175.74
5546,6025.18,6091.81,6140.17,6188.43,6241.67
5795,5623.33,5597.31,5602.53,5541.3,5898.03
5899,5837.72,5828.47,5839.5,5779.69,5987.12
6374,6034.96,5989.57,5980.55,5832.99,5915.58
5838,6257.68,6319.08,6357.4,6356.82,6260.97
6311,5972.92,5926.48,5914.94,5768.2,5903.18
5941,6235.21,6279.12,6306.35,6275.43,6204.39
5890,5944.86,5951.59,5962.77,5904.51,6053.08
6221,5989.18,5956.64,5947.24,5814.38,5946.93
6323,6261.95,6256.97,6255.75,6132.54,6064.61
6069,6273.77,6305.73,6319.91,6254.46,6169.99
5552,5955.11,6009.06,6035.64,6045.48,6188.34
5922,5662.45,5618.35,5601.84,5475.4,5870.46
5824,5913.28,5921.9,5924.21,5856.88,6054.04
5740,5809.32,5810.85,5821.19,5770.06,5874
5400,5662.78,5689.14,5714.22,5730.49,5920.43
5287,5381.41,5383.2,5399.68,5419.33,5771.31
5630,5382.87,5339.6,5333.8,5280.29,5631.44
5733,5665.73,5647.96,5654.25,5609.46,5798.07
6087,5832.02,5790.31,5784.34,5679.21,5771.57
5896,6049.86,6067.08,6085.92,6042.6,6014.88
6006,5935.44,5920.3,5927.27,5855.03,5891.41
6155,6055.99,6038.42,6043.48,5950.67,5918.44
6081,6149.88,6156.72,6172.36,6104.93,6021.16
5971,6067.9,6077.5,6096.92,6050.62,6014.85
6023,5998.95,5991.33,6004.61,5944.75,5949.06
6393,6131.31,6092.63,6090.61,5962,5888.96
6085,6332.22,6366.18,6394.87,6347.88,6163.22
6325,6162.37,6137.72,6143.64,6036.3,5947.82
6117,6291.34,6314.44,6341.3,6289.17,6128.29
6304,6182.48,6163.84,6173.97,6076.27,5978.34
6137,6282.1,6301.04,6328.05,6274.6,6120.15
6772,6315.66,6252.79,6242.04,6054.95,5879.59
5894,6569.93,6666.59,6723.55,6741.46,6423.4
6505,6065.13,6003.35,5996.05,5851.2,5829.35
5995,6399.44,6455.54,6500.61,6490.39,6269.97
5964,6007.35,6010.87,6036.63,6007.73,6023.52
6017,5997.19,5992.37,6014.47,5973.79,5997.91
5883,6004.28,6018.72,6050.52,6040.34,6061.4
5866,5897.9,5900.14,5926.55,5911.82,6001.2
5458,5783,5824.49,5870.75,5936.64,6097.74
5528,5488.13,5481.16,5501.91,5523.4,5877.53
6084,5680.74,5625.35,5622.5,5537.96,5777.47
6349,6172.37,6148.46,6161.51,6062.95,5991.4
5984,6282.13,6323.51,6366.9,6356.74,6214.18
5857,5973.09,5988.15,6021.04,6013.76,6069.43
6106,5938.22,5915.16,5929.13,5862.53,5946.95
6006,6103.24,6116.77,6147.96,6117.82,6095.26
