Real,K-AGRUED,GRUED,LSTM,ARIMA
16,15.8859,17.0699,20.7519,11.4565
18,17.5808,18.7425,22.1032,13.2394
17,16.8788,17.9982,21.5862,12.6932
19,17.3874,18.549,21.6051,12.876
24,18.932,20.0222,22.2265,12.9281
18,20.275,21.2464,24.9541,17.6066
31,21.7017,22.9143,23.4281,14.6837
29,25.1312,25.8341,27.8982,19.7734
30,27.9179,28.8217,30.0294,24.5552
20,25.8095,26.6469,30.0066,25.8718
32,24.2325,25.4725,25.6508,18.8851
25,25.2771,25.9225,28.767,22.4541
28,26.0394,27.1167,28.3419,23.5415
32,26.2716,27.1351,28.053,21.6394
51,32.5593,33.287,30.6022,22.6305
23,36.1869,36.0438,40.4186,40.1723
32,30.899,32.3254,31.5997,30.9094
24,25.8061,26.4767,29.3563,24.7622
44,28.6995,29.8713,27.7324,21.2943
48,36.0235,36.1435,35.2535,28.967
41,41.5732,41.645,41.5131,41.853
15,34.3904,34.8758,39.0925,43.4903
29,24.0482,25.8732,25.6134,22.7319
7,18.9461,19.6599,25.8409,22.597
24,16.6622,18.5944,19.1184,13.8592
5,14.3997,15.1817,21.4186,16.7191
12,12.2035,14.1201,16.9303,12.6045
26,13.2866,14.4697,15.3035,6.42236
12,17.7933,18.645,23.5233,19.2365
4,13.7732,15.5933,20.4289,18.7228
14,9.32821,11.0251,13.3511,7.09157
14,11.2957,12.4793,15.8022,9.11224
22,15.1905,16.6886,18.2611,12.1685
21,18.2452,19.4296,21.9616,16.8448
24,20.358,21.8192,23.4384,19.4113
17,19.95,21.2646,24.5814,21.8097
24,19.0729,20.8457,21.9807,18.092
17,18.8772,20.1482,23.5262,20.1296
32,20.5833,22.4261,21.9074,16.9793
24,23.646,24.5469,27.3269,23.84
13,21.6913,23.431,27.0976,27.5832
7,13.7626,15.9158,19.9233,18.5367
8,8.94517,11.0294,14.3866,10.408
12,8.75388,10.6275,13.3053,7.89753
4,8.88546,10.6774,15.3463,11.678
20,9.82165,12.1048,12.6454,6.62626
29,16.0998,17.469,18.0268,10.6749
18,21.5439,22.935,26.3728,24.5802
24,20.1382,22.4671,23.2485,21.2216
8,16.7889,18.4851,23.3759,22.268
10,11.8246,14.6192,17.2264,15.3493
25,11.9533,14.1121,14.1199,7.47419
11,15.7413,17.2424,21.7486,18.8741
11,13.3324,16.1524,18.7516,17.3294
19,11.6636,14.0196,15.2086,10.1474
28,16.6951,18.6795,18.9799,13.2976
23,21.4224,23.1753,25.3612,22.824
14,19.5838,21.9695,25.1137,25.2219
22,16.0471,18.8656,19.4807,16.472
17,16.2701,18.3463,21.0555,17.9256
20,19.6659,20.8132,23.749,15.2468
30,21.5833,22.598,23.8345,13.3972
22,24.9117,25.6482,29.2115,21.6674
20,23.8167,24.8859,27.9458,22.0325
23,21.4751,22.5292,25.0341,17.0951
30,23.5871,24.5264,25.897,16.9998
17,24.7254,25.4376,29.8956,24.424
17,21.089,22.3377,25.5815,20.256
21,18.5301,19.6126,22.3045,14.1845
33,22.549,23.5177,24.1268,14.7184
29,27.8583,28.4155,30.7574,24.0627
31,29.7364,30.5507,31.7679,26.9992
22,27.7173,28.4181,31.7313,27.8509
18,23.5546,24.6861,27.9859,24.2241
26,21.1065,22.2937,23.8743,16.9145
32,24.6115,25.448,26.5893,18.9062
32,29.2866,29.9437,31.4063,26.0964
36,31.6664,32.3791,32.8356,28.3402
20,30.1962,30.7098,34.7138,33.239
32,26.6465,28.0414,28.1265,23.8795
13,23.8139,24.4562,29.8459,26.6979
15,19.153,20.8648,23.8602,20.821
21,16.3974,17.6886,19.9584,12.9976
17,18.5329,19.6582,23.253,17.8685
31,21.137,22.5665,22.8658,16.2004
