Real,K-AGRUED,GRUED,LSTM,ARIMA
16,16.9362,13.5163,15.8787,21.2271
18,18.6497,15.141,17.5546,22.5135
17,17.8734,14.3489,16.8713,22.0448
19,18.6054,14.9809,17.2866,21.8656
24,20.5194,16.5541,18.6153,22.0492
18,20.8406,17.2974,20.4172,25.6495
31,23.925,19.6493,21.1205,22.6709
29,26.2298,22.041,24.8894,27.788
30,28.969,24.9529,27.7878,30.0323
20,25.8161,22.3613,26.1726,31.0072
32,26.2884,21.9965,23.747,25.0159
25,25.8072,21.8436,25.2944,29.1437
28,27.2271,23.2253,25.9169,28.376
32,27.7432,23.3766,25.9136,27.6583
51,35.5011,30.1158,31.4068,28.5624
23,34.4133,31.3667,37.0111,42.1605
32,32.2847,28.2269,30.8302,31.5597
24,26.1671,22.2213,25.919,29.8919
44,31.6374,26.5461,27.7433,26.1056
48,37.6256,32.5589,35.275,33.9788
41,41.5644,37.5605,41.609,41.5644
15,32.3913,29.7419,35.6023,41.5017
29,26.264,22.0508,23.7387,25.2747
7,18.0774,14.704,19.6927,27.725
24,19.2701,14.9785,16.2036,18.6303
5,13.909,10.2011,14.9872,23.0605
12,13.8551,10.059,12.2162,17.4233
26,15.911,10.5939,12.492,14.2338
12,17.8144,13.8276,18.1554,24.6757
4,14.1442,10.86,14.384,22.0718
14,11.3969,6.87973,9.03622,13.2862
14,12.6694,7.90344,11.1267,15.9824
22,17.3525,12.4987,14.7649,17.8872
21,19.6259,14.9377,18.073,22.0577
24,22.0918,17.4667,20.1303,23.3822
17,20.7315,16.5246,20.1344,25.3395
24,21.24,16.5459,18.765,21.7787
17,19.7547,15.337,18.9945,24.1788
32,23.6228,18.3845,19.8697,20.8981
24,24.4785,19.7933,23.6239,27.6596
13,22.1271,18.3909,22.2345,28.5073
7,14.8013,10.8884,14.1853,21.2157
8,10.6508,6.09256,9.00424,15.0253
12,10.7991,5.69263,8.551,13.4358
4,9.84269,5.2997,9.1908,16.4809
20,13.0917,7.586,9.1855,11.91
29,18.9104,12.7626,15.2935,16.9295
18,22.3181,17.7825,21.7654,27.2101
24,22.6587,17.7734,19.8969,23.1733
8,17.1745,12.935,17.3382,24.9135
10,14.0418,9.51816,11.9386,17.949
25,15.4731,9.31975,11.1379,13.0319
11,16.4621,11.5875,16.0377,22.8235
11,15.5083,10.9065,13.4781,19.5267
19,14.6422,8.88621,11.2051,14.8294
28,19.8445,13.7051,15.9885,18.0779
23,23.1534,17.939,21.3238,25.5973
14,20.9734,16.4912,19.9327,26.225
22,19.2574,13.7822,15.675,19.2287
17,18.178,12.7682,16.2244,21.461
20,20.7115,17.2934,19.645,24.1239
30,23.5232,19.3815,21.0572,23.218
22,25.1921,21.7763,25.0936,29.9326
20,24.2752,21.0538,24.0553,28.7404
23,22.5881,18.938,21.3798,25.2375
30,25.2106,21.1115,23.1863,25.4866
17,24.3829,21.2713,25.2083,31.1851
17,21.6705,18.4712,21.3446,26.4397
21,19.786,15.9538,18.3758,22.435
33,24.703,20.1953,21.8958,23.2395
29,28.4886,24.5986,27.787,30.9332
31,30.6069,26.7965,29.6574,31.8447
22,27.6159,24.2819,28.0746,32.7044
18,23.8503,20.5754,23.9018,28.9845
26,22.757,18.6447,20.8006,23.6617
32,26.267,21.8088,24.1498,26.0482
32,30.2007,26.1392,29.117,31.3469
36,32.8317,28.6844,31.3956,32.5192
20,29.3711,26.2997,30.8334,36.1852
32,28.5363,24.3819,26.3119,27.7392
13,23.0241,19.8237,24.4898,31.5305
15,20.1317,16.7058,19.4126,24.7462
21,18.1025,13.6622,16.1097,19.8542
17,19.3259,15.3151,18.6287,23.8783
31,23.6207,18.8759,20.5206,22.0524
17,23.1213,19.4174,23.6541,29.6486
19,22.3885,18.6462,21.3347,25.9417
24,21.2101,16.6882,19.1756,22.5668
38,27.5327,22.3547,24.0314,24.3131
35,32.5207,28.1728,31.437,33.4023
13,28.2491,25.5624,30.6025,37.6751
28,24.687,20.3049,21.7,23.9021
23,22.8949,18.37,21.8266,26.1306
24,25.1157,20.9513,23.7045,27.5182
27,25.1412,20.6115,23.2084,26.3363
